Action,Node 1,Node 2,Node 4
locust_login_and_view_dashboard,4870,4957,4767
locust_view_page,1425,1649,1602
locust_like_page,152,202,201
locust_search_recently_viewed,76,104,105
locust_view_attachments,185,308,323
locust_view_page_tree,114,266,240
locust_upload_attachments,1355,1647,1537
locust_search_cql,744,654,631
locust_create_page_editor,808,1103,1076
locust_view_blog,1706,2712,2677
locust_comment_page,121,276,264
locust_view_dashboard,3976,3975,3837
locust_app_specific_action,794,1289,1284
locust_create_blog_editor,826,1169,1131
locust_create_page,1386,1895,1835
locust_create_blog,1381,1892,1821
locust_open_editor,636,788,771
locust_edit_page,1398,1936,1867
selenium_login:open_login_page,212,210,249
selenium_login:login_and_view_dashboard,963,1026,991
selenium_login,1220,1311,1284
selenium_view_page,822,957,937
selenium_create_page:open_create_page_editor,961,1088,1054
selenium_create_page:save_created_page,849,1197,1101
selenium_create_page,2656,2874,2756
selenium_edit_page:open_create_page_editor,3334,3174,2985
selenium_edit_page:save_edited_page,1268,1598,1565
selenium_edit_page,4345,4651,4560
selenium_create_comment:write_comment,1311,1376,1411
selenium_create_comment:save_comment,642,639,640
selenium_create_comment,2393,2607,2564
selenium_view_blog,947,1628,1520
selenium_view_dashboard,3363,3737,3429
selenium_app_custom_action:view_page,925,1070,1059
selenium_app_custom_action,925,1070,1060
selenium_log_out,234,351,354
