Action,Node 1,Node 2,Node 4
locust_login_and_view_dashboard,2605,2652,2603
locust_view_page:open_page,1008,951,929
locust_search_cql:recently_viewed,45,51,50
locust_view_blog,1434,1796,1768
locust_upload_attachment,920,1059,1020
locust_view_dashboard,1949,1933,1938
locust_create_and_edit_page:create_page_editor,416,460,470
locust_like_page,69,81,86
locust_view_page:view_page_tree,179,451,442
locust_search_cql:search_results,544,516,517
locust_create_and_edit_page:create_page,691,801,829
locust_create_blog:blog_editor,469,536,546
locust_comment_page,229,282,300
locust_view_attachment,183,272,297
locust_create_and_edit_page:open_editor,263,286,299
locust_create_blog:feel_and_publish,696,808,841
locust_create_and_edit_page:edit_page,711,838,862
selenium_login:open_login_page,193,154,157
selenium_login:login_and_view_dashboard,834,702,699
selenium_login,1087,906,910
selenium_view_page,815,762,783
selenium_create_page:open_create_page_editor,734,736,749
selenium_create_page:save_created_page,670,669,671
selenium_create_page,2015,2003,2020
selenium_edit_page:open_create_page_editor,2570,2529,2254
selenium_edit_page:save_edited_page,1197,1095,1146
selenium_edit_page,3375,3315,3364
selenium_create_comment:write_comment,691,752,749
selenium_create_comment:save_comment,627,621,624
selenium_create_comment,2035,1879,1922
selenium_view_blog,1233,1135,1133
selenium_view_dashboard,1692,1030,1029
selenium_app_custom_action:view_page,841,900,866
selenium_app_custom_action,841,901,866
selenium_log_out,153,105,111
