Action,without app,with app
locust_login_and_view_dashboard,2494,2270
locust_view_page:open_page,888,858
locust_view_blog,1734,1724
locust_view_dashboard,1771,1751
locust_create_and_edit_page:create_page_editor,412,409
locust_comment_page,195,193
locust_search_cql:recently_viewed,41,43
locust_view_attachment,188,176
locust_view_page:view_page_tree,90,86
locust_like_page,70,71
locust_create_and_edit_page:create_page,685,674
locust_search_cql:search_results,498,501
locust_upload_attachment,774,779
locust_create_and_edit_page:open_editor,259,255
locust_create_and_edit_page:edit_page,710,704
locust_create_blog:blog_editor,472,464
locust_create_blog:feel_and_publish,693,689
selenium_login:open_login_page,138,138
selenium_login:login_and_view_dashboard,730,707
selenium_login,941,919
selenium_view_page,743,746
selenium_create_page:open_create_page_editor,740,757
selenium_create_page:save_created_page,678,677
selenium_create_page,2027,2057
selenium_edit_page:open_create_page_editor,2446,2593
selenium_edit_page:save_edited_page,1216,1188
selenium_edit_page,3542,3462
selenium_create_comment:write_comment,697,691
selenium_create_comment:save_comment,625,627
selenium_create_comment,1910,1954
selenium_view_blog,835,1111
selenium_view_dashboard,1572,1568
selenium_log_out,143,143
