Action,without app,with app
locust_login_and_view_dashboard,2047,2104
locust_upload_attachments,762,823
locust_create_page_editor,190,192
locust_view_page,533,542
locust_view_blog,982,1154
locust_view_dashboard,1600,1663
locust_create_page,336,336
locust_view_page_tree,83,96
locust_comment_page,56,56
locust_like_page,30,30
locust_open_editor,152,151
locust_search_recently_viewed,13,14
locust_create_blog_editor,210,210
locust_edit_page,352,350
locust_search_cql,731,765
locust_create_blog,341,333
locust_view_attachments,138,132
selenium_login:open_login_page,102,101
selenium_login:login_and_view_dashboard,730,761
selenium_login,899,945
selenium_view_page,743,746
selenium_create_page:open_create_page_editor,710,730
selenium_create_page:save_created_page,614,610
selenium_create_page,1944,1972
selenium_edit_page:open_create_page_editor,2593,2584
selenium_edit_page:save_edited_page,957,980
selenium_edit_page,3407,3396
selenium_create_comment:write_comment,732,752
selenium_create_comment:save_comment,646,649
selenium_create_comment,1810,1844
selenium_view_blog,1199,1110
selenium_view_dashboard,1171,1212
selenium_log_out,98,98
