Action,Node 1,Node 2,Node 4
locust_login_and_view_dashboard,2281,2352,2306
locust_create_blog:blog_editor,465,522,548
locust_view_page:open_page,858,921,902
locust_view_blog,1723,1862,1846
locust_search_cql:recently_viewed,43,47,49
locust_create_and_edit_page:create_page_editor,409,452,462
locust_like_page,70,78,85
locust_create_blog:feel_and_publish,681,781,814
locust_view_page:view_page_tree,85,217,196
locust_search_cql:search_results,486,472,490
locust_upload_attachment,771,961,992
locust_create_and_edit_page:create_page,682,785,814
locust_view_dashboard,1754,1764,1780
locust_view_attachment,176,268,302
locust_comment_page,200,260,267
locust_create_and_edit_page:open_editor,256,284,294
locust_create_and_edit_page:edit_page,699,827,855
selenium_login:open_login_page,138,139,129
selenium_login:login_and_view_dashboard,705,782,694
selenium_login,918,994,897
selenium_view_page,746,784,796
selenium_create_page:open_create_page_editor,750,742,798
selenium_create_page:save_created_page,672,641,645
selenium_create_page,2037,2009,2023
selenium_edit_page:open_create_page_editor,2580,2533,2344
selenium_edit_page:save_edited_page,1126,1238,1209
selenium_edit_page,3405,3504,3389
selenium_create_comment:write_comment,703,698,705
selenium_create_comment:save_comment,624,627,624
selenium_create_comment,1950,1921,1925
selenium_view_blog,801,1396,1412
selenium_view_dashboard,1577,1575,1511
selenium_app_custom_action:view_page,337,364,387
selenium_app_custom_action,338,364,387
selenium_log_out,172,177,191
