Action,Node 1,Node 2,Node 4
locust_login_and_view_dashboard,1668,2580,2592
locust_view_page:open_page,575,929,903
locust_like_page,34,90,91
locust_search_cql:recently_viewed,16,52,52
locust_create_blog:blog_editor,238,596,627
locust_view_attachment,140,277,289
locust_view_blog,1044,1923,1988
locust_view_dashboard,1230,1808,1877
locust_app_specific_action,39,70,72
locust_view_page:view_page_tree,57,211,194
locust_create_and_edit_page:create_page_editor,217,506,526
locust_search_cql:search_results,508,481,501
locust_comment_page,75,258,274
locust_create_blog:feel_and_publish,380,927,950
locust_upload_attachment,629,905,966
locust_create_and_edit_page:create_page,367,877,918
locust_create_and_edit_page:open_editor,160,319,331
locust_create_and_edit_page:edit_page,387,917,980
selenium_login:open_login_page,346,367,377
selenium_login:login_and_view_dashboard,708,905,898
selenium_login,1139,1342,1354
selenium_view_page,814,885,967
selenium_create_page:open_create_page_editor,1269,1137,1233
selenium_create_page:save_created_page,720,731,723
selenium_create_page,2098,2285,2377
selenium_edit_page:open_create_page_editor,2689,2676,2676
selenium_edit_page:save_edited_page,989,1301,1273
selenium_edit_page,3563,3859,3631
selenium_create_comment:write_comment,826,709,769
selenium_create_comment:save_comment,654,638,637
selenium_create_comment,2019,1942,2024
selenium_view_blog,1127,1499,1454
selenium_view_dashboard,1061,1587,1602
selenium_app_custom_action:view_source_editor,3070,2886,2935
selenium_app_custom_action:submit_source_editor_content,645,626,627
selenium_app_custom_action,3656,3495,3533
selenium_log_out,132,162,159
