Action,without app,with app
jmeter_clone_repo_via_ssh,10661,9636
jmeter_create_repo_shallow_copy,30,34
jmeter_git_add,3,3
jmeter_git_commit,6,6
jmeter_git_push_via_ssh,714,625
jmeter_git_fetch_via_ssh,429,1013
jmeter_clone_repo_via_http,10537,9266
jmeter_git_push_via_http,797,685
jmeter_git_fetch_via_http,386,690
selenium_login:open_login_page,169,151
selenium_login:login_get_started,371,319
selenium_login,636,559
selenium_view_dashboard,2180,1119
selenium_create_pull_request:create_pull_request,7585,6551
selenium_create_pull_request:merge_pull_request,2817,1799
selenium_create_pull_request,10959,9286
selenium_view_projects,486,439
selenium_view_project_repositories,292,258
selenium_view_repository,733,447
selenium_view_list_pull_requests,414,371
selenium_view_pull_request_overview,754,1150
selenium_view_pull_request_diff,724,525
selenium_view_pull_request_commits,1038,926
selenium_comment_pull_request_file,1317,1272
selenium_comment_pull_request_overview,931,1152
selenium_view_branches,860,879
selenium_view_commits,1317,1159
selenium_log_out,171,156
